WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,49.41,78,100,1.88,overcast clouds
1,Severo-Kurilsk,RU,50.6789,156.125,53.46,72,98,15.28,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,71.35,66,100,19.53,overcast clouds
3,San Luis,AR,-33.295,-66.3356,68.11,31,1,12.68,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,41,4.0,scattered clouds
5,Bengkulu,ID,-3.8004,102.2655,77.76,86,100,3.2,overcast clouds
6,Kyren,RU,51.6828,102.1408,30.85,51,67,0.83,broken clouds
7,Meadow Lake,US,34.8014,-106.5436,68.11,84,56,12.55,light rain
8,Port-Gentil,GA,-0.7193,8.7815,77.5,83,100,11.48,overcast clouds
9,Vaini,TO,-21.2,-175.2,82.56,69,75,14.97,broken clouds
10,Dikson,RU,73.5069,80.5464,31.39,99,100,3.85,light snow
11,Ushuaia,AR,-54.8,-68.3,46.06,66,0,3.44,clear sky
12,Hithadhoo,MV,-0.6,73.0833,81.97,69,100,16.67,overcast clouds
13,Catuday,PH,16.2923,119.8062,82.29,74,60,6.26,broken clouds
14,Werda,BW,-25.2667,23.2833,69.85,17,0,7.43,clear sky
15,Jamestown,US,42.097,-79.2353,48.02,63,0,5.75,clear sky
16,Tabas,IR,33.5959,56.9244,70.02,24,0,4.61,clear sky
17,Mataura,NZ,-46.1927,168.8643,53.87,65,98,10.98,overcast clouds
18,Ostrovnoy,RU,68.0531,39.5131,41.79,79,100,10.27,overcast clouds
19,Dakar,SN,14.6937,-17.4441,81.48,73,86,9.6,light rain
20,San Quintin,MX,30.4833,-115.95,69.26,82,65,12.97,broken clouds
21,Kapaa,US,22.0752,-159.319,84.18,68,0,14.97,clear sky
22,Kintampo,GH,8.0563,-1.7306,72.3,92,14,3.4,few clouds
23,Lagoa,PT,39.05,-27.9833,68.59,80,100,4.38,overcast clouds
24,Kelo,TD,9.3086,15.8066,71.08,96,99,7.4,moderate rain
25,New Norfolk,AU,-42.7826,147.0587,52.92,50,94,1.99,overcast clouds
26,Saldanha,ZA,-33.0117,17.9442,55.67,80,0,7.18,clear sky
27,Kavaratti,IN,10.5669,72.642,81.41,78,100,15.05,overcast clouds
28,Marsassoum,SN,12.8275,-15.9806,75.9,94,100,0.65,moderate rain
29,Plavsk,RU,53.7094,37.2919,48.51,84,99,20.85,overcast clouds
30,Tuy Hoa,VN,13.0833,109.3,78.49,88,100,4.32,heavy intensity rain
31,Pitimbu,BR,-7.4706,-34.8086,73.99,78,15,10.02,few clouds
32,Kloulklubed,PW,7.0419,134.2556,84.7,82,100,2.19,overcast clouds
33,Le Port,RE,-20.9373,55.2919,69.76,77,0,6.89,clear sky
34,Progreso,MX,21.2833,-89.6667,81.1,74,18,11.72,few clouds
35,Chuy,UY,-33.6971,-53.4616,54.27,66,87,7.58,overcast clouds
36,Lorengau,PG,-2.0226,147.2712,85.91,67,17,10.78,few clouds
37,Neiafu,TO,-18.65,-173.9833,83.08,69,40,10.36,scattered clouds
38,Avarua,CK,-21.2078,-159.775,78.85,69,20,19.57,few clouds
39,Hermanus,ZA,-34.4187,19.2345,53.8,75,36,8.21,scattered clouds
40,Sola,VU,-13.8833,167.55,80.47,74,13,11.27,few clouds
41,Tiksi,RU,71.6872,128.8694,20.34,89,84,11.68,broken clouds
42,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,8.05,broken clouds
43,Jiayuguan,CN,39.8167,98.3,41.13,42,0,5.3,clear sky
44,Atuona,PF,-9.8,-139.0333,76.53,76,24,17.81,few clouds
45,Geraldton,AU,-28.7667,114.6,70.21,40,0,10.36,clear sky
46,Kansas City,US,39.0997,-94.5786,73.69,46,0,5.75,clear sky
47,Taoudenni,ML,22.6783,-3.9836,93.29,19,10,13.89,clear sky
48,Kindu,CD,-2.95,25.95,68.02,99,55,2.13,broken clouds
49,Rio Grande,BR,-32.035,-52.0986,57.56,63,99,12.12,overcast clouds
50,Tasiilaq,GL,65.6145,-37.6368,33.96,99,100,8.79,light snow
51,Lavrentiya,RU,65.5833,-171.0,39.85,68,15,2.01,few clouds
52,Abalak,RU,58.1286,68.5944,45.43,68,100,9.42,overcast clouds
53,Yellowknife,CA,62.456,-114.3525,45.12,70,75,9.22,broken clouds
54,Moose Factory,CA,51.2585,-80.6094,62.6,67,100,10.36,overcast clouds
55,Constitucion,CL,-35.3333,-72.4167,48.88,89,12,3.47,few clouds
56,Cabo San Lucas,MX,22.8909,-109.9124,86.31,61,0,9.22,clear sky
57,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,14.97,overcast clouds
58,Sokolka,PL,53.4072,23.5023,46.67,77,100,17.96,overcast clouds
59,Atasu,KZ,48.6814,71.6433,31.41,45,0,9.71,clear sky
60,Torbay,CA,47.6666,-52.7314,45.16,73,0,3.44,clear sky
61,Polis,CY,35.0367,32.4264,73.22,86,7,4.29,clear sky
62,Nanortalik,GL,60.1432,-45.2371,36.25,75,5,6.11,clear sky
63,Thompson,CA,55.7435,-97.8558,39.36,81,20,0.0,few clouds
64,Kirkwood,US,38.5834,-90.4068,64.27,57,0,5.75,clear sky
65,Qaanaaq,GL,77.484,-69.3632,17.31,72,100,6.35,overcast clouds
66,Cape Town,ZA,-33.9258,18.4232,56.12,89,20,6.91,few clouds
67,Esperance,AU,-33.8667,121.9,60.64,78,44,11.5,scattered clouds
68,Salalah,OM,17.0151,54.0924,75.29,88,75,2.3,broken clouds
69,Mar Del Plata,AR,-38.0023,-57.5575,53.1,88,0,8.05,clear sky
70,East London,ZA,-33.0153,27.9116,63.14,71,100,14.74,overcast clouds
71,Nanakuli,US,21.3906,-158.1547,85.98,61,100,16.11,overcast clouds
72,Dunedin,NZ,-45.8742,170.5036,58.01,46,92,5.03,overcast clouds
73,Kanye,BW,-24.9667,25.3327,72.59,22,0,7.85,clear sky
74,Manturovo,RU,58.3353,44.7619,48.43,89,62,5.95,broken clouds
75,Mayumba,GA,-3.432,10.6554,75.61,86,100,7.76,light rain
76,Ostrzeszow,PL,51.4264,17.9336,46.51,94,4,13.09,clear sky
77,Bellevue,US,47.6104,-122.2007,78.28,58,0,5.75,smoke
78,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.02,76,52,7.52,broken clouds
79,Clyde River,CA,70.4692,-68.5914,30.43,93,100,4.61,overcast clouds
80,Iqaluit,CA,63.7506,-68.5145,38.93,80,100,16.11,light rain
81,Hargeysa,SO,9.56,44.065,68.63,70,42,16.24,scattered clouds
82,Hofn,IS,64.2539,-15.2082,47.16,90,100,23.13,overcast clouds
83,Hobart,AU,-42.8794,147.3294,54.27,56,40,17.27,scattered clouds
84,Buluang,PH,13.3068,123.3425,84.33,77,82,1.54,broken clouds
85,Lebu,CL,-37.6167,-73.65,51.55,92,95,11.79,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,69.66,82,100,3.02,overcast clouds
87,Dingle,PH,10.9995,122.6711,83.82,79,100,5.77,overcast clouds
88,Cherskiy,RU,68.75,161.3,28.74,73,100,7.81,overcast clouds
89,Hervey Bay,AU,-25.2986,152.8535,74.01,51,29,7.0,scattered clouds
90,Tura,IN,25.5198,90.2201,72.01,96,100,3.27,overcast clouds
91,Bluff,NZ,-46.6,168.3333,45.32,89,100,20.47,overcast clouds
92,Sinnamary,GF,5.3833,-52.95,78.49,87,97,8.66,overcast clouds
93,Port Blair,IN,11.6667,92.75,84.24,79,40,2.3,scattered clouds
94,Busselton,AU,-33.65,115.3333,57.65,65,0,12.95,clear sky
95,Barrow,US,71.2906,-156.7887,24.82,93,100,16.11,overcast clouds
96,Oranjemund,NA,-28.55,16.4333,55.62,94,17,11.25,few clouds
97,Georgetown,MY,5.4112,100.3354,82.33,83,20,4.61,few clouds
98,Tiznit,MA,29.5833,-9.5,76.1,28,7,0.72,clear sky
99,Chyhyryn,UA,49.0838,32.6555,50.43,82,100,14.43,light rain
100,Kushmurun,KZ,52.4503,64.6311,34.52,48,5,4.54,clear sky
101,Blagoyevo,RU,63.3667,47.9167,43.18,94,100,8.77,overcast clouds
102,Baranain,ES,42.8057,-1.6773,57.29,94,0,1.99,clear sky
103,Upernavik,GL,72.7868,-56.1549,21.65,77,100,6.38,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,59.29,85,0,17.27,clear sky
105,Port Alfred,ZA,-33.5906,26.891,58.17,86,100,4.0,overcast clouds
106,Hualmay,PE,-11.0964,-77.6139,61.97,82,38,10.74,scattered clouds
107,Mitzic,GA,0.7821,11.549,66.34,99,94,2.42,light rain
108,Castro,BR,-24.7911,-50.0119,56.52,97,100,4.27,light rain
109,Hilo,US,19.7297,-155.09,84.27,82,75,9.22,broken clouds
110,Talaya,RU,61.3833,152.75,21.22,90,100,7.9,light snow
111,Isangel,VU,-19.55,169.2667,78.91,78,75,9.22,broken clouds
112,Bocos,PH,16.9265,121.0573,75.11,74,33,3.4,scattered clouds
113,Farah,AF,32.5,62.5,63.39,21,0,4.61,clear sky
114,Portoferraio,IT,42.8115,10.3146,68.58,71,0,3.96,clear sky
115,Atar,MR,20.5169,-13.0499,90.66,33,98,6.13,overcast clouds
116,Fare,PF,-16.7,-151.0167,78.49,75,0,15.32,clear sky
117,Yumen,CN,40.2833,97.2,39.49,42,0,16.58,clear sky
118,Kismayo,SO,-0.3582,42.5454,75.09,86,41,10.69,scattered clouds
119,Portland,US,45.5234,-122.6762,82.33,54,20,0.0,smoke
120,Bahia De Caraquez,EC,-0.6,-80.4167,71.78,86,100,11.9,overcast clouds
121,Najran,SA,17.4924,44.1277,66.85,21,0,3.18,clear sky
122,Bandarbeyla,SO,9.4942,50.8122,76.87,77,26,21.52,scattered clouds
123,Carlsbad,US,33.1581,-117.3506,78.17,83,75,6.91,broken clouds
124,Buraydah,SA,26.326,43.975,75.65,15,5,6.62,clear sky
125,Erenhot,CN,43.6475,111.9767,33.01,27,0,2.46,clear sky
126,Motygino,RU,58.1831,94.7592,27.05,84,14,0.87,few clouds
127,Tual,ID,-5.6667,132.75,81.9,80,62,6.26,broken clouds
128,Mogzon,RU,51.7435,111.9606,25.88,72,100,5.66,overcast clouds
129,Talnakh,RU,69.4865,88.3972,33.21,95,100,24.34,snow
130,Saskylakh,RU,71.9167,114.0833,13.8,96,93,6.04,overcast clouds
131,Ardmore,US,34.1743,-97.1436,75.02,39,0,0.0,clear sky
132,Nikolskoye,RU,59.7035,30.7861,48.09,90,100,7.83,overcast clouds
133,Icatu,BR,-2.7758,-44.0658,81.03,76,86,9.64,overcast clouds
134,Berlevag,NO,70.8578,29.0864,39.15,87,100,2.3,overcast clouds
135,Baherden,TM,38.4362,57.4316,59.36,27,0,5.86,clear sky
136,Airai,TL,-8.9266,125.4092,72.14,67,80,1.5,broken clouds
137,Ahmadnagar,IN,19.0833,74.7333,70.48,83,96,8.75,overcast clouds
138,Karratha,AU,-20.7377,116.8463,79.5,41,0,10.11,clear sky
139,Gimli,CA,50.6336,-96.9907,59.02,88,78,4.61,broken clouds
140,Omboue,GA,-1.5746,9.2618,75.07,90,98,6.35,light rain
141,Hami,CN,42.8,93.45,50.97,13,27,4.05,scattered clouds
142,Khatanga,RU,71.9667,102.5,14.94,87,100,6.82,overcast clouds
143,Pishin,PK,30.5803,66.9961,59.14,21,0,1.83,clear sky
144,Topolobampo,MX,25.6,-109.05,85.91,54,0,10.36,clear sky
145,Seymchan,RU,62.8833,152.4333,26.02,79,100,10.87,overcast clouds
146,Mandalgovi,MN,45.7625,106.2708,27.32,33,0,10.07,clear sky
147,Bethany,US,45.5579,-122.8676,81.05,54,0,4.61,clear sky
148,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,44,13.33,scattered clouds
149,Magaria,NE,12.9983,8.9099,83.03,60,67,8.93,broken clouds
150,San Patricio,US,28.017,-97.5169,80.55,44,100,4.94,overcast clouds
151,Atambua,ID,-9.1061,124.8925,83.53,63,86,0.81,overcast clouds
152,Deputatskiy,RU,69.3,139.9,13.15,93,40,3.76,scattered clouds
153,Nome,US,64.5011,-165.4064,44.67,81,100,11.5,overcast clouds
154,Acajutla,SV,13.5928,-89.8275,79.36,82,100,2.82,overcast clouds
155,Kodiak,US,57.79,-152.4072,51.31,82,100,8.05,haze
156,Harper,LR,4.375,-7.7169,75.85,90,100,5.93,overcast clouds
157,Kashi,CN,39.4547,75.9797,47.41,81,100,2.24,dust
158,Faanui,PF,-16.4833,-151.75,78.4,75,5,15.05,light rain
159,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.97,92,100,7.85,overcast clouds
160,Los Andes,CL,-32.8337,-70.5983,50.02,75,96,2.13,overcast clouds
161,Pochutla,MX,15.7432,-96.4661,80.82,90,98,3.33,overcast clouds
162,Puerto Penasco,MX,31.3167,-113.5333,84.9,68,0,5.99,clear sky
163,Mildura,AU,-34.2,142.15,62.69,55,100,16.46,light rain
164,Sambava,MG,-14.2667,50.1667,68.67,80,98,8.48,overcast clouds
165,Mount Isa,AU,-20.7333,139.5,89.37,29,40,10.36,scattered clouds
166,Pangody,RU,65.85,74.4859,36.66,96,100,11.61,overcast clouds
167,Maumere,ID,-8.6199,122.2111,83.66,70,30,3.96,scattered clouds
168,Inhambane,MZ,-23.865,35.3833,71.37,89,1,9.35,clear sky
169,Narsaq,GL,60.9167,-46.05,35.82,59,0,6.69,clear sky
170,Gizo,SB,-8.103,156.8419,84.2,70,100,3.62,overcast clouds
171,Mayo,US,38.8876,-76.5119,50.41,91,100,4.0,light rain
172,Victoria,HK,22.2855,114.1577,86.97,80,5,7.0,clear sky
173,Winnemucca,US,40.973,-117.7357,77.05,16,0,3.44,clear sky
174,Oksovskiy,RU,62.6062,39.8984,45.1,97,100,7.81,light rain
175,Morondava,MG,-20.2833,44.2833,70.7,89,0,2.51,clear sky
176,Pevek,RU,69.7008,170.3133,29.37,76,100,8.72,overcast clouds
177,Kita,ML,13.0349,-9.4895,75.54,82,32,3.49,scattered clouds
178,Arraial Do Cabo,BR,-22.9661,-42.0278,68.36,84,100,4.45,overcast clouds
179,Villaviciosa,ES,43.4813,-5.4357,64.42,97,0,2.89,clear sky
180,Naze,JP,28.3667,129.4833,83.32,70,18,6.06,few clouds
181,Ballina,AU,-28.8667,153.5667,71.78,61,9,5.32,clear sky
182,Yinchuan,CN,38.4681,106.2731,45.46,38,20,10.63,few clouds
183,Podor,MR,16.6527,-14.9587,90.86,45,71,5.39,broken clouds
184,Verkhnyaya Inta,RU,65.9811,60.3094,37.53,88,100,10.02,overcast clouds
185,Mahebourg,MU,-20.4081,57.7,70.25,78,20,6.91,few clouds
186,Kahului,US,20.8947,-156.47,82.42,68,75,13.8,broken clouds
187,Richards Bay,ZA,-28.783,32.0377,70.14,78,100,16.33,overcast clouds
188,Gat,IL,31.61,34.7642,74.39,100,1,1.25,clear sky
189,Bhalki,IN,18.0333,77.2167,70.66,82,100,8.43,overcast clouds
190,Vao,NC,-22.6667,167.4833,69.22,65,3,15.64,clear sky
191,Pangnirtung,CA,66.1451,-65.7125,35.08,55,100,8.77,light snow
192,Gamba,GA,-2.65,10.0,75.79,82,100,6.73,overcast clouds
193,Petropavlovka,RU,50.6114,105.3196,30.34,45,100,0.58,overcast clouds
194,Alice Springs,AU,-23.7,133.8833,76.55,65,40,8.05,scattered clouds
195,Sitka,US,57.0531,-135.33,55.29,71,0,4.61,clear sky
196,Baruun-Urt,MN,46.6806,113.2792,29.71,38,0,9.95,clear sky
197,Paamiut,GL,61.994,-49.6678,36.72,69,12,10.0,few clouds
198,Hirara,JP,24.8,125.2833,86.27,70,20,5.75,few clouds
199,Pimentel,PE,-6.8367,-79.9342,62.46,85,50,15.14,scattered clouds
200,Codrington,AU,-38.2667,141.9667,57.13,74,100,14.36,light rain
201,Wasilla,US,61.5814,-149.4394,54.95,59,100,14.97,overcast clouds
202,Port Hueneme,US,34.1478,-119.1951,80.51,72,0,11.5,clear sky
203,Sao Simao,BR,-21.4792,-47.5508,66.65,95,9,2.15,clear sky
204,Ariquemes,BR,-9.9133,-63.0408,73.08,85,100,1.1,heavy intensity rain
205,Zhezkazgan,KZ,47.8043,67.7144,30.18,51,0,11.18,clear sky
206,Faya,SA,18.3851,42.4509,62.71,35,1,5.41,clear sky
207,Estacion Coahuila,MX,32.1939,-115.0017,95.95,26,0,8.05,clear sky
208,Muli,MV,2.9167,73.5667,81.27,78,100,17.74,moderate rain
209,Zapolyarnyy,RU,69.4154,30.8136,31.28,89,100,1.63,overcast clouds
210,Along,IN,28.1667,94.7667,71.94,99,100,0.27,overcast clouds
211,Bredasdorp,ZA,-34.5322,20.0403,50.36,89,0,6.53,clear sky
212,Tuatapere,NZ,-46.1333,167.6833,48.34,84,100,10.47,overcast clouds
213,Carnarvon,AU,-24.8667,113.6333,71.37,40,0,6.11,clear sky
214,Tabou,CI,4.423,-7.3528,75.74,91,100,4.99,overcast clouds
215,Trairi,BR,-3.2778,-39.2689,77.68,78,67,11.25,broken clouds
216,Cooma,AU,-36.2333,149.1333,62.58,46,99,0.34,overcast clouds
217,Yuli,NG,9.6989,10.2744,71.67,88,100,3.42,light rain
218,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,52,40,6.91,scattered clouds
219,Mortka,RU,59.3322,66.0214,47.64,96,100,8.34,light rain
220,Seoul,KR,37.5683,126.9778,69.19,79,75,10.36,broken clouds
221,Kruisfontein,ZA,-34.0033,24.7314,54.88,84,20,9.24,few clouds
222,Kaitangata,NZ,-46.2817,169.8464,58.24,48,67,13.8,broken clouds
223,Verkhoyansk,RU,67.5447,133.385,23.95,89,87,3.18,overcast clouds
224,Hibbing,US,47.4272,-92.9377,62.2,72,0,0.0,clear sky
225,Rorvik,NO,64.8621,11.2373,51.91,93,100,5.75,overcast clouds
226,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,2.3,clear sky
227,Hauterive,FR,46.0901,3.4459,45.36,96,15,2.33,few clouds
228,Aripuana,BR,-9.1667,-60.6333,71.49,98,83,0.36,broken clouds
229,Belyy,RU,55.8402,32.9419,39.06,97,100,10.69,overcast clouds
230,Labuhan,ID,-6.8844,112.2051,82.06,71,98,11.32,overcast clouds
231,Hobyo,SO,5.3505,48.5268,76.1,88,73,19.69,broken clouds
